date,product,category,store,price,sales,revenue
2022-01-07,Nike Shoes,Fashion,Delhi Store,5000,37,185000
2022-01-07,Nike Shoes,Fashion,Mumbai Store,5000,40,200000
2022-01-07,Nike Shoes,Fashion,Chandigarh Store,5000,31,155000
2022-01-07,Levi Jeans,Fashion,Delhi Store,3000,39,117000
2022-01-07,Levi Jeans,Fashion,Mumbai Store,3000,30,90000
2022-01-07,Levi Jeans,Fashion,Chandigarh Store,3000,40,120000
2022-01-07,Milk 1L,Grocery,Delhi Store,60,14,840
2022-01-07,Milk 1L,Grocery,Mumbai Store,60,29,1740
2022-01-07,Milk 1L,Grocery,Chandigarh Store,60,41,2460
2022-01-07,Bread,Grocery,Delhi Store,40,28,1120
2022-01-07,Bread,Grocery,Mumbai Store,40,40,1600
2022-01-07,Bread,Grocery,Chandigarh Store,40,15,600
2022-01-07,Washing Machine,Appliances,Delhi Store,25000,28,700000
2022-01-07,Washing Machine,Appliances,Mumbai Store,25000,45,1125000
2022-01-07,Washing Machine,Appliances,Chandigarh Store,25000,52,1300000
2022-01-07,Laptop HP,Electronics,Delhi Store,60000,32,1920000
2022-01-07,Laptop HP,Electronics,Mumbai Store,60000,36,2160000
2022-01-07,Laptop HP,Electronics,Chandigarh Store,60000,26,1560000
2022-01-08,iPhone 14,Electronics,Delhi Store,80000,29,2320000
2022-01-08,iPhone 14,Electronics,Mumbai Store,80000,53,4240000
2022-01-08,iPhone 14,Electronics,Chandigarh Store,80000,22,1760000
2022-01-08,Samsung TV,Electronics,Delhi Store,50000,32,1600000
2022-01-08,Samsung TV,Electronics,Mumbai Store,50000,38,1900000
2022-01-08,Samsung TV,Electronics,Chandigarh Store,50000,22,1100000
2022-01-08,Nike Shoes,Fashion,Delhi Store,5000,38,190000
2022-01-08,Nike Shoes,Fashion,Mumbai Store,5000,48,240000
2022-01-08,Nike Shoes,Fashion,Chandigarh Store,5000,45,225000
2022-01-08,Levi Jeans,Fashion,Delhi Store,3000,36,108000
2022-01-08,Levi Jeans,Fashion,Mumbai Store,3000,25,75000
2022-01-08,Levi Jeans,Fashion,Chandigarh Store,3000,51,153000
2022-01-08,Milk 1L,Grocery,Delhi Store,60,26,1560
2022-01-08,Milk 1L,Grocery,Mumbai Store,60,25,1500
2022-01-08,Milk 1L,Grocery,Chandigarh Store,60,23,1380
2022-01-08,Bread,Grocery,Delhi Store,40,49,1960
2022-01-08,Bread,Grocery,Mumbai Store,40,46,1840
2022-01-08,Bread,Grocery,Chandigarh Store,40,57,2280
2022-01-08,Washing Machine,Appliances,Delhi Store,25000,31,775000
2022-01-08,Washing Machine,Appliances,Mumbai Store,25000,46,1150000
2022-01-08,Washing Machine,Appliances,Chandigarh Store,25000,38,950000
2022-01-08,Laptop HP,Electronics,Delhi Store,60000,42,2520000
2022-01-08,Laptop HP,Electronics,Mumbai Store,60000,44,2640000
2022-01-08,Laptop HP,Electronics,Chandigarh Store,60000,44,2640000
2022-01-09,iPhone 14,Electronics,Delhi Store,80000,45,3600000
2022-01-09,iPhone 14,Electronics,Mumbai Store,80000,30,2400000
2022-01-09,iPhone 14,Electronics,Chandigarh Store,80000,24,1920000
2022-01-09,Samsung TV,Electronics,Delhi Store,50000,16,800000
2022-01-09,Samsung TV,Electronics,Mumbai Store,50000,51,2550000
2022-01-09,Samsung TV,Electronics,Chandigarh Store,50000,46,2300000
2022-01-09,Nike Shoes,Fashion,Delhi Store,5000,21,105000
2022-01-09,Nike Shoes,Fashion,Mumbai Store,5000,24,120000
2022-01-09,Nike Shoes,Fashion,Chandigarh Store,5000,49,245000
2022-01-09,Levi Jeans,Fashion,Delhi Store,3000,26,78000
2022-01-09,Levi Jeans,Fashion,Mumbai Store,3000,32,96000
2022-01-09,Levi Jeans,Fashion,Chandigarh Store,3000,56,168000
2022-01-09,Milk 1L,Grocery,Delhi Store,60,47,2820
2022-01-09,Milk 1L,Grocery,Mumbai Store,60,47,2820
2022-01-09,Milk 1L,Grocery,Chandigarh Store,60,28,1680
2022-01-09,Bread,Grocery,Delhi Store,40,44,1760
2022-01-09,Bread,Grocery,Mumbai Store,40,56,2240
2022-01-09,Bread,Grocery,Chandigarh Store,40,51,2040
2022-01-09,Washing Machine,Appliances,Delhi Store,25000,46,1150000
2022-01-09,Washing Machine,Appliances,Mumbai Store,25000,29,725000
2022-01-09,Washing Machine,Appliances,Chandigarh Store,25000,22,550000
2022-01-09,Laptop HP,Electronics,Delhi Store,60000,51,3060000
2022-01-09,Laptop HP,Electronics,Mumbai Store,60000,54,3240000
2022-01-09,Laptop HP,Electronics,Chandigarh Store,60000,42,2520000
2022-01-10,iPhone 14,Electronics,Delhi Store,80000,36,2880000
2022-01-10,iPhone 14,Electronics,Mumbai Store,80000,12,960000
2022-01-10,iPhone 14,Electronics,Chandigarh Store,80000,27,2160000
2022-01-10,Samsung TV,Electronics,Delhi Store,50000,26,1300000
2022-01-10,Samsung TV,Electronics,Mumbai Store,50000,6,300000
2022-01-10,Samsung TV,Electronics,Chandigarh Store,50000,35,1750000
2022-01-10,Nike Shoes,Fashion,Delhi Store,5000,29,145000
2022-01-10,Nike Shoes,Fashion,Mumbai Store,5000,39,195000
2022-01-10,Nike Shoes,Fashion,Chandigarh Store,5000,39,195000
2022-01-10,Levi Jeans,Fashion,Delhi Store,3000,43,129000
2022-01-10,Levi Jeans,Fashion,Mumbai Store,3000,5,15000
2022-01-10,Levi Jeans,Fashion,Chandigarh Store,3000,53,159000
2022-01-10,Milk 1L,Grocery,Delhi Store,60,34,2040
2022-01-10,Milk 1L,Grocery,Mumbai Store,60,45,2700
2022-01-10,Milk 1L,Grocery,Chandigarh Store,60,30,1800
2022-01-10,Bread,Grocery,Delhi Store,40,21,840
2022-01-10,Bread,Grocery,Mumbai Store,40,23,920
2022-01-10,Bread,Grocery,Chandigarh Store,40,40,1600
2022-01-10,Washing Machine,Appliances,Delhi Store,25000,14,350000
2022-01-10,Washing Machine,Appliances,Mumbai Store,25000,22,550000
2022-01-10,Washing Machine,Appliances,Chandigarh Store,25000,48,1200000
2022-01-10,Laptop HP,Electronics,Delhi Store,60000,33,1980000
2022-01-10,Laptop HP,Electronics,Mumbai Store,60000,49,2940000
2022-01-10,Laptop HP,Electronics,Chandigarh Store,60000,49,2940000
2022-01-11,iPhone 14,Electronics,Delhi Store,80000,30,2400000
2022-01-11,iPhone 14,Electronics,Mumbai Store,80000,42,3360000
2022-01-11,iPhone 14,Electronics,Chandigarh Store,80000,22,1760000
2022-01-11,Samsung TV,Electronics,Delhi Store,50000,50,2500000
2022-01-11,Samsung TV,Electronics,Mumbai Store,50000,31,1550000
2022-01-11,Samsung TV,Electronics,Chandigarh Store,50000,16,800000
2022-01-11,Nike Shoes,Fashion,Delhi Store,5000,23,115000
2022-01-11,Nike Shoes,Fashion,Mumbai Store,5000,31,155000
2022-01-11,Nike Shoes,Fashion,Chandigarh Store,5000,34,170000
2022-01-11,Levi Jeans,Fashion,Delhi Store,3000,32,96000
2022-01-11,Levi Jeans,Fashion,Mumbai Store,3000,28,84000
2022-01-11,Levi Jeans,Fashion,Chandigarh Store,3000,48,144000
2022-01-11,Milk 1L,Grocery,Delhi Store,60,31,1860
2022-01-11,Milk 1L,Grocery,Mumbai Store,60,14,840
2022-01-11,Milk 1L,Grocery,Chandigarh Store,60,32,1920
2022-01-11,Bread,Grocery,Delhi Store,40,24,960
2022-01-11,Bread,Grocery,Mumbai Store,40,11,440
2022-01-11,Bread,Grocery,Chandigarh Store,40,24,960
2022-01-11,Washing Machine,Appliances,Delhi Store,25000,28,700000
2022-01-11,Washing Machine,Appliances,Mumbai Store,25000,35,875000
2022-01-11,Washing Machine,Appliances,Chandigarh Store,25000,47,1175000
2022-01-11,Laptop HP,Electronics,Delhi Store,60000,52,3120000
2022-01-11,Laptop HP,Electronics,Mumbai Store,60000,11,660000
2022-01-11,Laptop HP,Electronics,Chandigarh Store,60000,28,1680000
2022-01-12,iPhone 14,Electronics,Delhi Store,80000,24,1920000
2022-01-12,iPhone 14,Electronics,Mumbai Store,80000,23,1840000
2022-01-12,iPhone 14,Electronics,Chandigarh Store,80000,26,2080000
2022-01-12,Samsung TV,Electronics,Delhi Store,50000,18,900000
2022-01-12,Samsung TV,Electronics,Mumbai Store,50000,14,700000
2022-01-12,Samsung TV,Electronics,Chandigarh Store,50000,40,2000000
2022-01-12,Nike Shoes,Fashion,Delhi Store,5000,10,50000
2022-01-12,Nike Shoes,Fashion,Mumbai Store,5000,37,185000
2022-01-12,Nike Shoes,Fashion,Chandigarh Store,5000,44,220000
2022-01-12,Levi Jeans,Fashion,Delhi Store,3000,12,36000
2022-01-12,Levi Jeans,Fashion,Mumbai Store,3000,29,87000
2022-01-12,Levi Jeans,Fashion,Chandigarh Store,3000,27,81000
2022-01-12,Milk 1L,Grocery,Delhi Store,60,32,1920
2022-01-12,Milk 1L,Grocery,Mumbai Store,60,45,2700
2022-01-12,Milk 1L,Grocery,Chandigarh Store,60,37,2220
2022-01-12,Bread,Grocery,Delhi Store,40,52,2080
2022-01-12,Bread,Grocery,Mumbai Store,40,32,1280
2022-01-12,Bread,Grocery,Chandigarh Store,40,45,1800
2022-01-12,Washing Machine,Appliances,Delhi Store,25000,18,450000
2022-01-12,Washing Machine,Appliances,Mumbai Store,25000,41,1025000
2022-01-12,Washing Machine,Appliances,Chandigarh Store,25000,31,775000
2022-01-12,Laptop HP,Electronics,Delhi Store,60000,43,2580000
2022-01-12,Laptop HP,Electronics,Mumbai Store,60000,15,900000
2022-01-12,Laptop HP,Electronics,Chandigarh Store,60000,36,2160000
2022-01-13,iPhone 14,Electronics,Delhi Store,80000,42,3360000
2022-01-13,iPhone 14,Electronics,Mumbai Store,80000,19,1520000
2022-01-13,iPhone 14,Electronics,Chandigarh Store,80000,40,3200000
2022-01-13,Samsung TV,Electronics,Delhi Store,50000,25,1250000
2022-01-13,Samsung TV,Electronics,Mumbai Store,50000,29,1450000
2022-01-13,Samsung TV,Electronics,Chandigarh Store,50000,42,2100000
2022-01-13,Nike Shoes,Fashion,Delhi Store,5000,26,130000
2022-01-13,Nike Shoes,Fashion,Mumbai Store,5000,30,150000
2022-01-13,Nike Shoes,Fashion,Chandigarh Store,5000,18,90000
2022-01-13,Levi Jeans,Fashion,Delhi Store,3000,13,39000
2022-01-13,Levi Jeans,Fashion,Mumbai Store,3000,24,72000
2022-01-13,Levi Jeans,Fashion,Chandigarh Store,3000,43,129000
2022-01-13,Milk 1L,Grocery,Delhi Store,60,49,2940
2022-01-13,Milk 1L,Grocery,Mumbai Store,60,36,2160
2022-01-13,Milk 1L,Grocery,Chandigarh Store,60,21,1260
2022-01-13,Bread,Grocery,Delhi Store,40,35,1400
2022-01-13,Bread,Grocery,Mumbai Store,40,37,1480
2022-01-13,Bread,Grocery,Chandigarh Store,40,36,1440
2022-01-13,Washing Machine,Appliances,Delhi Store,25000,45,1125000
2022-01-13,Washing Machine,Appliances,Mumbai Store,25000,29,725000
2022-01-13,Washing Machine,Appliances,Chandigarh Store,25000,41,1025000
2022-01-13,Laptop HP,Electronics,Delhi Store,60000,26,1560000
2022-01-13,Laptop HP,Electronics,Mumbai Store,60000,11,660000
2022-01-13,Laptop HP,Electronics,Chandigarh Store,60000,17,1020000
2022-01-14,iPhone 14,Electronics,Delhi Store,80000,15,1200000
2022-01-14,iPhone 14,Electronics,Mumbai Store,80000,35,2800000
2022-01-14,iPhone 14,Electronics,Chandigarh Store,80000,15,1200000
2022-01-14,Samsung TV,Electronics,Delhi Store,50000,42,2100000
2022-01-14,Samsung TV,Electronics,Mumbai Store,50000,6,300000
2022-01-14,Samsung TV,Electronics,Chandigarh Store,50000,36,1800000
2022-01-14,Nike Shoes,Fashion,Delhi Store,5000,19,95000
2022-01-14,Nike Shoes,Fashion,Mumbai Store,5000,38,190000
2022-01-14,Nike Shoes,Fashion,Chandigarh Store,5000,26,130000
2022-01-14,Levi Jeans,Fashion,Delhi Store,3000,17,51000
2022-01-14,Levi Jeans,Fashion,Mumbai Store,3000,46,138000
2022-01-14,Levi Jeans,Fashion,Chandigarh Store,3000,39,117000
2022-01-14,Milk 1L,Grocery,Delhi Store,60,31,1860
2022-01-14,Milk 1L,Grocery,Mumbai Store,60,10,600
2022-01-14,Milk 1L,Grocery,Chandigarh Store,60,13,780
2022-01-14,Bread,Grocery,Delhi Store,40,44,1760
2022-01-14,Bread,Grocery,Mumbai Store,40,31,1240
2022-01-14,Bread,Grocery,Chandigarh Store,40,50,2000
2022-01-14,Washing Machine,Appliances,Delhi Store,25000,16,400000
2022-01-14,Washing Machine,Appliances,Mumbai Store,25000,25,625000
2022-01-14,Washing Machine,Appliances,Chandigarh Store,25000,26,650000
2022-01-14,Laptop HP,Electronics,Delhi Store,60000,7,420000
2022-01-14,Laptop HP,Electronics,Mumbai Store,60000,20,1200000
2022-01-14,Laptop HP,Electronics,Chandigarh Store,60000,5,300000
2022-01-15,iPhone 14,Electronics,Delhi Store,80000,55,4400000
2022-01-15,iPhone 14,Electronics,Mumbai Store,80000,49,3920000
2022-01-15,iPhone 14,Electronics,Chandigarh Store,80000,62,4960000
2022-01-15,Samsung TV,Electronics,Delhi Store,50000,53,2650000
2022-01-15,Samsung TV,Electronics,Mumbai Store,50000,18,900000
2022-01-15,Samsung TV,Electronics,Chandigarh Store,50000,26,1300000
2022-01-15,Nike Shoes,Fashion,Delhi Store,5000,27,135000
2022-01-15,Nike Shoes,Fashion,Mumbai Store,5000,37,185000
2022-01-15,Nike Shoes,Fashion,Chandigarh Store,5000,33,165000
2022-01-15,Levi Jeans,Fashion,Delhi Store,3000,36,108000
2022-01-15,Levi Jeans,Fashion,Mumbai Store,3000,27,81000
2022-01-15,Levi Jeans,Fashion,Chandigarh Store,3000,58,174000
2022-01-15,Milk 1L,Grocery,Delhi Store,60,53,3180
2022-01-15,Milk 1L,Grocery,Mumbai Store,60,49,2940
2022-01-15,Milk 1L,Grocery,Chandigarh Store,60,46,2760
2022-01-15,Bread,Grocery,Delhi Store,40,51,2040
2022-01-15,Bread,Grocery,Mumbai Store,40,52,2080
2022-01-15,Bread,Grocery,Chandigarh Store,40,44,1760
2022-01-15,Washing Machine,Appliances,Delhi Store,25000,35,875000
2022-01-15,Washing Machine,Appliances,Mumbai Store,25000,46,1150000
2022-01-15,Washing Machine,Appliances,Chandigarh Store,25000,31,775000
2022-01-15,Laptop HP,Electronics,Delhi Store,60000,40,2400000
2022-01-15,Laptop HP,Electronics,Mumbai Store,60000,34,2040000
2022-01-15,Laptop HP,Electronics,Chandigarh Store,60000,42,2520000
2022-01-16,iPhone 14,Electronics,Delhi Store,80000,53,4240000
2022-01-16,iPhone 14,Electronics,Mumbai Store,80000,18,1440000
2022-01-16,iPhone 14,Electronics,Chandigarh Store,80000,43,3440000
2022-01-16,Samsung TV,Electronics,Delhi Store,50000,35,1750000
2022-01-16,Samsung TV,Electronics,Mumbai Store,50000,37,1850000
2022-01-16,Samsung TV,Electronics,Chandigarh Store,50000,25,1250000
2022-01-16,Nike Shoes,Fashion,Delhi Store,5000,25,125000
2022-01-16,Nike Shoes,Fashion,Mumbai Store,5000,41,205000
2022-01-16,Nike Shoes,Fashion,Chandigarh Store,5000,48,240000
2022-01-16,Levi Jeans,Fashion,Delhi Store,3000,42,126000
2022-01-16,Levi Jeans,Fashion,Mumbai Store,3000,37,111000
2022-01-16,Levi Jeans,Fashion,Chandigarh Store,3000,20,60000
2022-01-16,Milk 1L,Grocery,Delhi Store,60,51,3060
2022-01-16,Milk 1L,Grocery,Mumbai Store,60,40,2400
2022-01-16,Milk 1L,Grocery,Chandigarh Store,60,20,1200
2022-01-16,Bread,Grocery,Delhi Store,40,27,1080
2022-01-16,Bread,Grocery,Mumbai Store,40,35,1400
2022-01-16,Bread,Grocery,Chandigarh Store,40,48,1920
2022-01-16,Washing Machine,Appliances,Delhi Store,25000,37,925000
2022-01-16,Washing Machine,Appliances,Mumbai Store,25000,49,1225000
2022-01-16,Washing Machine,Appliances,Chandigarh Store,25000,48,1200000
2022-01-16,Laptop HP,Electronics,Delhi Store,60000,43,2580000
2022-01-16,Laptop HP,Electronics,Mumbai Store,60000,44,2640000
2022-01-16,Laptop HP,Electronics,Chandigarh Store,60000,43,2580000
2022-01-17,iPhone 14,Electronics,Delhi Store,80000,12,960000
2022-01-17,iPhone 14,Electronics,Mumbai Store,80000,42,3360000
2022-01-17,iPhone 14,Electronics,Chandigarh Store,80000,26,2080000
2022-01-17,Samsung TV,Electronics,Delhi Store,50000,35,1750000
2022-01-17,Samsung TV,Electronics,Mumbai Store,50000,38,1900000
2022-01-17,Samsung TV,Electronics,Chandigarh Store,50000,25,1250000
2022-01-17,Nike Shoes,Fashion,Delhi Store,5000,15,75000
2022-01-17,Nike Shoes,Fashion,Mumbai Store,5000,25,125000
2022-01-17,Nike Shoes,Fashion,Chandigarh Store,5000,13,65000
2022-01-17,Levi Jeans,Fashion,Delhi Store,3000,28,84000
2022-01-17,Levi Jeans,Fashion,Mumbai Store,3000,44,132000
2022-01-17,Levi Jeans,Fashion,Chandigarh Store,3000,27,81000
2022-01-17,Milk 1L,Grocery,Delhi Store,60,50,3000
2022-01-17,Milk 1L,Grocery,Mumbai Store,60,51,3060
2022-01-17,Milk 1L,Grocery,Chandigarh Store,60,27,1620
